image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0162x2,0.201,0.505,0.225,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.37,0.407,,,,,,,,,,,,,,,,
0163x2,0.215,0.529,0.222,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.505,0.376,,,,,,,,,,,,,,,,
0164x2,0.205,0.539,0.234,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.501,0.406,,,,,,,,,,,,,,,,
0165x2,0.215,0.538,0.263,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.481,0.401,,,,,,,,,,,,,,,,
0166x2,0.219,0.525,0.266,0.736842105263158,0.736842105263158,0.736842105263158,0.387,1.455,0.382,,,,,,,,,,,,,,,,
0167x2,0.207,0.495,0.225,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.37,0.379,,,,,,,,,,,,,,,,
0168x2,0.191,0.522,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.461,0.393,,,,,,,,,,,,,,,,
0169x2,0.222,0.536,0.237,0.736842105263158,0.736842105263158,0.736842105263158,0.401,1.49,0.389,,,,,,,,,,,,,,,,
0170x2,0.148,0.496,0.167,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.439,0.359,,,,,,,,,,,,,,,,
0171x2,0.235,0.527,0.266,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.569,0.371,,,,,,,,,,,,,,,,
0172x2,0.179,0.526,0.276,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.494,0.399,,,,,,,,,,,,,,,,
0173x2,0.207,0.531,0.216,0.736842105263158,0.736842105263158,0.736842105263158,0.407,1.518,0.408,,,,,,,,,,,,,,,,
0174x2,0.145,0.504,0.155,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.452,0.385,,,,,,,,,,,,,,,,
0175x2,0.185,0.516,0.156,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.404,0.398,,,,,,,,,,,,,,,,
0176x2,0.199,0.538,0.211,0.736842105263158,0.736842105263158,0.736842105263158,0.412,1.64,0.375,,,,,,,,,,,,,,,,
0177x2,0.224,0.531,0.25,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.464,0.4,,,,,,,,,,,,,,,,
0178x2,0.209,0.53,0.264,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.47,0.391,,,,,,,,,,,,,,,,
0179x2,0.185,0.537,0.224,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.483,0.401,,,,,,,,,,,,,,,,
0180x2,0.212,0.538,0.261,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.47,0.384,,,,,,,,,,,,,,,,
0181x2,0.225,0.562,0.285,0.736842105263158,0.736842105263158,0.736842105263158,0.406,1.576,0.405,,,,,,,,,,,,,,,,
0182x2,0.203,0.536,0.205,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.493,0.398,,,,,,,,,,,,,,,,
